Day,UPC,Product,Pack Size,CIC,Sum Net Sales,Sum Item Quantity,Sum Markdown Amount
4/28/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/28/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,3086.4841,244,-322.67
4/29/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1688.4652,244,-14
4/29/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,9.99,1,0
4/29/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,3058.736,235,-226
4/30/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1401.8608,202,-6.99
4/30/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,2395.0953,185,-190.96
5/1/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,700.0691,105,-19.9
5/1/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,1275.8148,98,-93
5/2/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1270.24,184,-15.92
5/2/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,955.28,73,-66.99
5/3/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,876.76,126,-3.98
5/3/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,854.9577,62,-4
5/4/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,725.9764,104,0
5/4/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,725.3037,52,-1
5/4/2017,87999901602,ALSTROEMERIA CB 8ST,15.00 - 8.00 ST,85102051,0,0,0
5/5/2017,87999901025,PEONY 3 STEM,25.00 - 3.00 ST,85100584,1077.7033,155,-3.98
5/5/2017,87999901135,FORSYTHIA CB,20.00 - 1.00 EA,85100074,19.98,2,0
5/5/2017,87999901366,POMS PREMIUM OMBRE 2LBS,8.00 - 1.00 EA,85102371,867.38,62,0
